Scintillator ,Mechanism,lightyield,dop_conc,host_band gap,av_el_diel_cons,av_ion_diel_cons,reference,av_ion_pot,ion_pot(+),ion_pot(-),Density (g/cc),av_electroneg,av.ele(+),av.ele(-),av_elec_aff,elec_aff(+),elec_aff(-),emp_rad(+),emp_rad(-),mendeleev(+),mendeleev(-)
Ksr2I5:Eu4%,Eu2+,88000,4,3.649,3.76,6.43,"(Stand et al., 2019)  Pilania 2009",8.4981,5.2428,10.4513,4.234,2.005,0.9133,2.66,1.9883,0.2036,3.0591,2.0627,1.4,13.4133,97
KSr2Br0.10I4.90:Eu 4%,Eu2+,97900,4,3.649,,,"(Stand et al., 2019)",8.5151,5.2428,10.4785,4.39,,,,1.9921,0.2036,3.0652,2.0627,1.395,13.4133,97.02
KSr2I5:Eu,Eu2+,77200,2.5,3.649,3.76,6.43,"(Stand et al., 2020)  Pilania 2009",8.4982,5.2431,10.4513,4.234,,,,1.9881,0.203,3.0591,2.0642,1.4,13.3833,97
KYF4:Rb,CV,1800,,6.91,,,"(Dorenbos et al., 1993)",13.3715,5.2688,17.4228,3.355,2.99,1.01,3.98,2.4032,0.4073,3.4012,2,0.5,17.42,102
KYP2O7:Ce,Ce3+,10000,0.5,5.082,,,"(Yuan et al., 2007)",11.5322,7.882,13.6181,2.819,2.7727,1.6049,3.44,1.1396,0.5769,1.4611,1.5001,0.6,53.7588,101
La2Hf2O7:Ti,Ti4+,13000,2,4.233,4.6,26.19,"(Ji et al., 2005)",10.9229,6.2063,13.6181,7.857,2.7585,1.1683,3.44,1.0618,0.363,1.4611,1.725,0.6,41.68,101
LaB3O6:Ce,Ce3+,7700,0.05,4.6,,,"(Knitel et al., 2000)",11.2179,7.6177,13.6181,4.105,2.786,1.805,3.44,1.0164,0.3492,1.4611,1.1124,0.6,71.7488,101
LaBO3:Ce,Ce3+,600,1,4.045,3.81,12.67,"(Knitel et al., 2000)",10.9457,6.9373,13.6181,5.008,,,,1.0442,0.4189,1.4611,1.3748,0.6,59.495,101
LaBr(3-x)I(x):Ce,Ce3+   x=0.75,42000,5,,,,"(Birowosuto et al., 2008)",9.9986,5.575,11.4732,5.47,2.439,1.101,2.885,2.6055,0.5597,3.2875,1.8975,1.2125,32.95,97.75
LaBr(3-x)I(x):Ce,Ce3+   x=1.5,55000,5,,,,"(Birowosuto et al., 2008)",9.7432,5.575,11.1325,5.51,2.3828,1.101,2.81,2.5485,0.5597,3.2114,1.8975,1.275,32.95,97.5
LaBr(3-x)I(x):Ce,Ce3+   x= 2.25,22000,5,,,,"(Birowosuto et al., 2008)",9.4877,5.575,10.7919,5.6,2.3265,1.101,2.735,2.4914,0.5597,3.1352,1.8975,1.3546,32.95,97.25
LaBr3:Pr,Pr3+,74500,1,2.927,4.4,6.12,"(J. Glodo, R. Farrell, et al., 2005)   Pilania 2009",10.2543,5.5759,11.8138,4.872,2.3401,1.1003,2.96,2.661,0.5531,3.3636,1.8995,1.15,32.98,98
LaBr3:Ce,Ce3+,60000,0.5,2.927,4.4,6.12,"(K. S. Shah et al., 2004)  Pilania 2009",10.2545,5.5767,11.8138,4.872,2.495,1.1001,2.96,2.6622,0.5578,3.3636,1.8998,1.15,32.995,98
LaBr3:Ce,Ce3+,74000,5,2.927,4.4,6.12,"(J. Glodo, W. W. Moses, et al., 2005)  Pilania 2009",10.2541,5.575,11.8138,4.872,2.4953,1.101,2.96,2.6626,0.5597,3.3636,1.8975,1.15,32.95,98
LaBr3:Ce,Ce3+,80165,20,2.927,4.4,6.12,"(Higgins et al., 2006)   Pilania 2009",10.2527,5.5693,11.8138,4.872,,,,2.6642,0.5661,3.3636,1.89,1.15,32.8,98
LaCl3,SX,34000,,3.67,3.74,6.48,,11.12,5.5769,12.9676,3.719,2.645,1.1,3.16,2.8489,0.5576,3.6127,1.9,1,33,99
LaCl3:Ce,Ce3+,50000,10,3.67,3.74,6.48,"(Higgins et al., 2006)",11.119,5.5731,12.9676,3.719,2.6455,1.102,3.16,2.85,0.5619,3.6127,1.895,1,32.9,99
LaCl3:Ce,Ce3+,40000,0.5,3.67,3.74,6.48,"(Guillot-Noël et al., 1999)",11.1199,5.5767,12.9676,3.719,,,,2.849,0.5578,3.6127,1.8998,1,32.995,99
LaI3:Ce,Ce3+,16000,0.5,2.071,4.55,4.13,"(Bessiere et al., 2005)",9.2326,5.5767,10.4513,4.888,2.2701,1.1002,2.66,2.4338,0.5578,3.0591,1.8998,1.4,32.995,97
LaMgB5O10:Ce,Ce3+,1300,0.05,4.745,,,"(Knitel et al., 2000)",11.229,7.8162,13.6181,3.847,2.7653,1.8014,3.44,0.951,0.2223,1.4611,1.0929,0.6,76.5714,101
LaNb5O14,SA,750,,2.154,,,"(S. Derenzo et al., 2011)",11.5012,6.5619,13.6181,5.398,2.863,1.5167,3.44,1.28,0.8574,1.4611,1.525,0.6,49.6667,101
