Scintillator ,Mechanism,lightyield,dop_conc,host_band gap,av_el_diel_cons,av_ion_diel_cons,reference,av_ion_pot,ion_pot(+),ion_pot(-),Density (g/cc),av_electroneg,av.ele(+),av.ele(-),av_elec_aff,elec_aff(+),elec_aff(-),emp_rad(+),emp_rad(-),mendeleev(+),mendeleev(-)
Sc2O3,SA,16200,,3.814,,,"(Futami et al., 2013)",10.7954,6.5615,13.6181,3.751,2.608,1.36,3.44,0.9484,0.1794,1.4611,1.6,0.6,19,101
ScBO3:Ce,Ce3+,6500,1,4.174,3.9,11.61,"(Knitel et al., 2000)",11.1407,7.4246,13.6181,3.347,2.7438,1.6994,3.44,0.9693,0.2317,1.4611,1.2263,0.6,52.565,101
Sr5(PO4)3F:Ce,Ce3+,340,20,5.212,,,"(Zeng et al., 2006)",11.458,7.4723,13.9107,3.985,2.7044,1.4416,3.4815,1.142,0.3811,1.6103,1.6063,0.58,45.25,101.0769
SrAl2O4:Ce,Ce3+,3900,1,4.153,,,"(Nakauchi et al., 2016)",10.3053,5.8883,13.6181,3.442,2.5615,1.3901,3.44,0.9668,0.3077,1.4611,1.4662,0.6,59.39,101
SrBr2:Eu,Eu2+,13300,0.1,4.47,3.08,3.79,"(Kimura et al., 2020)",9.7741,5.6948,11.8138,3.756,2.2901,0.9503,2.96,2.2598,0.0522,3.3636,1.9999,1.15,15.003,98
SrBrI:Eu,Eu2+,47000,5,,,,"(Bourret-Courchesne, 2012)",9.3196,5.6936,11.1325,4.9,2.1942,0.9625,2.81,2.1593,0.0553,3.2114,1.9925,1.275,15.15,97.5
SrClI:Eu,Eu2+,70000,5,3.764,,,"(Bourret-Courchesne et al., 2012)",9.7042,5.6936,11.7095,4.187,2.2608,0.9625,2.91,2.2424,0.0553,3.3359,1.9925,1.2,15.15,98
SrHfO3:Ce,Ce3+,40000,1,4.177,4.36,28.3,"(Van Loef et al., 2007)",10.6745,6.2592,13.6181,7.509,2.5143,1.1259,3.44,0.9238,0.1178,1.4611,1.7743,0.6,32.515,101
SrI2,SA,38000,,3.81,3.65,4.01,"(Cherepy et al., 2009)",8.8658,5.6949,10.4513,3.776,2.09,0.95,2.66,2.0568,0.0521,3.0591,2,1.4,15,97
SrI2:Eu5%,Eu2+,120000,5,3.81,3.65,4.01,"(Van Loef et al., 2009)",8.8654,5.6936,10.4513,3.776,2.094,0.9625,2.66,2.0578,0.0553,3.0591,1.9925,1.4,15.15,97
SrI2:Eu6%,Eu2+,115000,6,3.81,3.65,4.01,"(Hawrami et al., 2013)",8.8653,5.6934,10.4513,3.776,2.095,0.965,2.66,2.0581,0.0559,3.0591,1.991,1.4,15.15,97
SrI2:Yb,Yb2+,38400,0.5,3.81,3.65,4.01,"(Alekhin et al., 2014b)",8.8667,5.6977,10.4513,3.776,2.0904,0.9513,2.66,2.0567,0.0517,3.0591,1.7505,1.4,15.01,97
Tl2GdCl5:Ce,Ce3+,53000,5,,,,"(Khan et al., 2018)",10.3967,6.1119,12.9676,5.1,2.5745,1.5987,3.16,2.3669,0.2905,3.6127,1.8675,1,61.0833,99
Tl2HfCl6,SA,32000,,,,,"(Vuong et al., 2019)",10.7608,6.3472,12.9676,,2.6511,1.6333,3.16,2.4994,0.2727,3.6127,1.7833,1,68.6667,99
Tl2LaCl5:Ce,Ce3+,76000,3,,,,"(Khan et al., 2020)",10.3288,5.9307,12.9676,5.31,2.5626,1.5668,3.16,2.4078,0.3997,3.6127,1.8995,1,62.99,99
Tl2LiYCl6:Ce,Ce3+,25000,5,,,,"(Hawrami et al., 2017)",10.1597,5.9479,12.9676,4.58,2.4759,1.4498,3.16,2.326,0.396,3.6127,1.7631,1,48.3375,99
Tl2ZrCl6,SA,35000,,,,,"(Hawrami et al., 2020)",10.7396,6.2834,12.9676,,2.6544,1.6433,3.16,2.5277,0.3577,3.6127,1.7833,1,68.3333,99
TlCaCl3,Intrinsic,30600,,4.208,3.33,10.79,"(Khan et al., 2017)",10.2249,6.1107,12.9676,3.932,2.456,1.4,3.16,2.2366,0.1724,3.6127,1.85,1,47,99
TlCdCl3,Tl,2200,,3.334,3.86,15.41,"(Fujimoto et al., 2017)",10.801,7.551,12.9676,4.989,2.594,1.745,3.16,2.0916,-0.19,3.6127,1.725,1,76.5,99
TlSr2Br5,Tl+,37600,,3.912,,,"(Rooh et al., 2017)",9.5709,5.8326,11.8138,4.767,2.3125,1.233,2.96,2.1553,0.1414,3.3636,1.9667,1.15,36,98
TlSr2I5,Intrinsic,31000,,3.319,,,"(H. J. Kim et al., 2018)",8.7193,5.8326,10.4513,5.103,2.125,1.233,2.66,1.9649,0.1414,3.0591,1.9667,1.4,36,97
TlSr2I5:Eu,Eu3+,72000,1,3.319,,,"(Soundara Pandian et al., 2021)",8.7192,5.8325,10.4513,5.103,2.1269,1.2383,2.66,1.9651,0.1419,3.0591,1.9493,1.4,36.02,97
Y2O3,SA,2600,,4.106,,,"(Futami et al., 2013)",10.6578,6.2173,13.6181,4.892,2.552,1.22,3.44,1.0011,0.3113,1.4611,1.8,0.6,25,101
Y2SiO5:Ce (YSO),Ce3+,15300,,4.766,,,"(Chewpraditkul et al., 2013)",11.0829,6.8576,13.6181,4.267,,,,1.1654,0.6726,1.4611,1.567,0.6,45.0467,101
Y3Al5O12:Ce (YAG),Ce3+,24000,0.1,4.495,3.64,14.45,"(Mares et al., 2005)  Pilania 2019",10.5998,6.0723,13.6181,4.42,2.649,1.462,3.44,1.0316,0.3874,1.4611,1.425,0.6,59.3776,101
Y3Al5O12:Pr,Pr3+,16000,0.25,4.495,3.64,14.45,"(Ogino et al., 2006)   Pilania 2019",10.5996,6.0719,13.6181,4.42,2.6495,1.4637,3.44,1.0315,0.3871,1.4611,1.425,0.6,59.3806,101
Y3Al5O12:Pr,Pr3+,8000,0.8,4.495,3.64,14.45,"(P. Dorenbos et al., 1992)      Pilania 2019   ",10.599,6.0704,13.6181,4.42,,,,1.0313,0.3866,1.4611,1.4252,0.6,59.393,101
YAl3B4O12:Ce,Ce3+,5700,1,5.374,3.26,7.37,"(Knitel et al., 2000)",11.0388,7.17,13.6181,3.634,2.7745,1.7762,3.44,1.0132,0.3414,1.4611,1.1001,0.6,76.1338,101
YAlO3:Ce (YAP),Ce3+,21600,0.1,5.54,4.15,19.32,"(Mares et al., 2005)  Pilania 2019",10.6113,6.1012,13.6181,5.187,2.629,1.413,3.44,1.0255,0.3722,1.4611,1.5,0.6,52.5035,101
YBO3:Ce,Ce3+,10000,1,5.17,3.55,9.15,"(Knitel et al., 2000)",11.0725,7.2543,13.6181,4.379,2.716,1.63,3.44,0.9954,0.297,1.4611,1.3253,0.6,55.535,101
YBr3:Ce,Ce3+,20000,1,4.052,3.12,2.54,"(Cherginets et al., 2012)",10.413,6.2105,11.8138,3.482,2.5248,1.2191,2.96,2.6013,0.3142,3.3636,1.8005,1.15,25.07,98
YCl3:Ce,Ce3+,8700,1,4.976,2.61,2.31,"(Cherginets et al., 2012)",11.2784,6.2105,12.9676,2.3,2.6748,1.2191,3.16,2.7881,0.3142,3.6127,1.8005,1,25.07,99
YI3:Ce,Ce3+,99500,2,3.059,3.67,2.69,"(Glodo et al., 2008)     Pilania 2019",9.3894,6.2037,10.4513,4.012,2.299,1.215,2.66,2.3736,0.3171,3.0591,1.801,1.4,25.14,97
YMgB5O10:Ce,Ce3+,330,0.5,,,,"(Knitel et al., 2000)",11.2665,7.9072,13.6181,,2.7723,1.8184,3.44,0.9366,0.1873,1.4611,1.0786,0.6,75.4336,101
YOBr:Ce1%,Ce3+,16000,1,3.827,3.96,12.5,"(S. Derenzo et al., 2011)",10.5475,6.2105,12.7159,4.693,2.5397,1.219,3.2,1.713,0.3142,2.4124,1.8005,0.875,25.07,99.5
YOCl:Ce,Ce3+,4000,1,5.089,4.26,17.99,"(S. Derenzo et al., 2011)",10.9321,6.2105,13.2928,4.48,2.6063,1.219,3.3,1.796,0.3142,2.5369,1.8005,0.8,25.07,100
YOI:Ce1%,Ce3+,2000,1,3.424,4.3,8.64,"(S. Derenzo et al., 2011)",10.0933,6.2105,12.0347,5.137,2.4397,1.219,3.05,1.6115,0.3142,2.2601,1.8005,1,25.07,99
Zn3Ta2O8,SA,30000,,3.509,,,"(S. Derenzo et al., 2011)",11.7097,8.6564,13.6181,6.86,2.7285,1.59,3.44,0.8113,-0.2284,1.4611,1.39,0.6,66.4,101
ZnWO4,CX,9300,,3.222,5.13,14.28,"(Holl et al., 1988)",11.9551,8.6291,13.6181,7.444,,,,1.0101,0.1082,1.4611,1.35,0.6,65.5,101
Gd3 Ga5 O12 :Ce,,39600,,3.06,4.32,17.91, Pilania 2019,,,,6.801,2.696,1.579,3.44,0.987,0.275,1.4611,1.488,0.6,60.844,101
